DMU,Sup. Sembrada (Ha),TemperaturaMedia,Cantidad de producción (Tn),Superficie Cosechada (Ha)
Ledesma,450,18.04,251,385
Ledesma,300,18.8,290,300
Ledesma,150,18.9,155,150
Ledesma,50,18.9,60,50
Ledesma,6500,19,7650,6500
Ledesma,800,18.8,310,500
Ledesma,800,19.9,700,700
Ledesma,300,18.9,390,300
Ledesma,100,18.3,120,100
Ledesma,400,18.7,210,200
Ledesma,300,19.3,300,300
Ledesma,200,18.9,260,200
San Pedro,4950,18.04,3849,4365
San Pedro,4000,18.8,4540,4000
San Pedro,2800,18.9,2829,2800
San Pedro,6360,18.9,5220,4360
San Pedro,8900,18.7,8500,8500
San Pedro,5750,18.9,6785,5750
San Pedro,3100,18.7,2940,3100
San Pedro,2500,17.,2750,2500
San Pedro,5200,17.8,1430,1300
San Pedro,10300,19,10400,8000
San Pedro,14200,18.8,8705,12350
San Pedro,14000,19,15825,14000
San Pedro,13700,19.9,11300,10700
San Pedro,15000,18.9,16690,14400
San Pedro,12500,18.3,13780,12300
San Pedro,12500,18.7,11650,12200
San Pedro,12600,19.3,13750,12600
San Pedro,13000,18.9,14750,12100
San Pedro,6900,19.4,9360,6800
San Pedro,8400,19.1,10460,8400
San Pedro,10900,18.9,15860,10900
San Pedro,10900,19.4,14060,10900
San Pedro,10900,18.4,14250,10900
San Pedro,11000,18.7,12300,11000
San Pedro,11000,19.2,14100,11000
San Pedro,11300,19.3,14485,11300
San Pedro,12710,19.2,15252,12710
San Pedro,12710,19.9,7868,11560
San Pedro,12710,20,15488,12710
San Pedro,12700,19.6,17780,12700
San Pedro,12700,19.4,10287,11430
San Pedro,12700,18.6,9780,9780
San Pedro,12700,19.6,8890,12700
San Pedro,12700,18.9,15240,12700
San Pedro,12700,19.1,12700,12700
San Pedro,15240,19.7,22860,15240
San Pedro,15240,19.2,12192,15240
San Pedro,12934,19.2,10347,12934
Santa Barbara,4750,18.04,4355,4400
Santa Barbara,4000,18.8,4160,4000
Santa Barbara,2680,18.9,2727,2680
Santa Barbara,5000,18.9,4200,3500
Santa Barbara,1300,18.7,1300,1300
Santa Barbara,3000,18.7,2850,3000
Santa Barbara,2500,17.,2750,2500
Santa Barbara,1300,17.8,1080,900
Santa Barbara,2800,19,2530,2300
Santa Barbara,5900,18.8,2775,4200
Santa Barbara,6500,19,7250,6500
Santa Barbara,7500,19.9,5830,5700
Santa Barbara,8300,18.9,9090,7800
Santa Barbara,5500,18.3,6070,5400
Santa Barbara,7800,18.7,7010,7100
Santa Barbara,7900,19.3,8320,7900
Santa Barbara,8700,18.9,10100,8200
Santa Barbara,4900,19.4,6590,4800
Santa Barbara,6100,19.1,7640,6100
Santa Barbara,6600,18.9,8700,6600
Santa Barbara,6600,19.4,8420,6600
Santa Barbara,6600,18.4,9080,6600
Santa Barbara,6600,18.7,7600,6600
Santa Barbara,6600,19.2,7920,6600
Santa Barbara,7130,19.3,8383,7130
Santa Barbara,7690,19.2,9811,7690
Santa Barbara,7690,19.9,4316,7338
Santa Barbara,7690,20,9997,7690
Santa Barbara,7690,19.6,10766,7690
Santa Barbara,7684,19.4,6233,6926
Santa Barbara,7783,18.6,5994,5994
Santa Barbara,7684,19.6,5379,7684
Santa Barbara,7684,18.9,9221,7684
Santa Barbara,7684,19.1,7684,7684
Santa Barbara,11842,19.7,17763,11842
Santa Barbara,13388,19.2,10710,13388
Santa Barbara,18582,19.2,14865,18582